cvnou, -1
€, -1
62, 0
:, -1
intreg, -1
;, -1
cvnou, -1
€, -1
63, 1
:, -1
intreg, -1
;, -1
cvnou, -1
€, -1
64, 2
:, -1
intreg, -1
;, -1
citeste, -1
(, -1
€, -1
62, 0
), -1
;, -1
citeste, -1
(, -1
€, -1
63, 1
), -1
;, -1
citeste, -1
(, -1
€, -1
64, 2
), -1
;, -1
€, -1
16, 3
:, -1
intreg, -1
;, -1
€, -1
16, 3
estiegal, -1
€, -1
62, 0
;, -1
daca, -1
(, -1
€, -1
16, 3
maimare, -1
€, -1
63, 1
), -1
atunci, -1
{, -1
€, -1
16, 3
estiegal, -1
€, -1
63, 1
;, -1
}, -1
daca, -1
(, -1
€, -1
16, 3
maimare, -1
€, -1
64, 2
), -1
atunci, -1
{, -1
€, -1
16, 3
estiegal, -1
€, -1
64, 2
;, -1
}, -1
scrie, -1
(, -1
€, -1
16, 3
), -1
;, -1
